group,Treatment,Site,combined,Year,Cashcrop,soilpH,soil-waterpH,BufferpH,P(kg/ha),K(kg/ha),Ca(kg/ha),Mg(kg/ha),Zn(kg/ha)
1KS101,Hemp Fiber,KS,Hemp FiberKS,1,Organic,5.11,5.99,6.62,493.174,188.3028,5284.80775,492.05315,2.353785
1KS102,Hemp Grain,KS,Hemp GrainKS,1,Organic,5.01,5.9,6.53,490.9323,200.63215,5356.54215,525.67865,2.01753
1KS103,Hemp Grain,KS,HempGrainKS,1,Organic,4.79,5.7,6.54,413.59365,210.7198,5140.2181,504.3825,1.56919
1KS104,Conventional,KS,ConventionalKS,1,Organic,4.93,5.83,6.54,367.6388,193.90705,4790.5129,468.5153,2.01753
1KS105,Conventional,KS,ConventionalKS,1,Organic,4.84,5.74,6.52,356.4303,201.753,4868.9724,467.39445,1.232935
1KS106,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.82,5.73,6.7,330.65075,183.8194,4817.4133,436.01065,1.34502
1KS201,Conventional,KS,ConventionalKS,1,Organic,4.89,5.79,6.74,464.0319,202.87385,5210.83165,448.34,1.56919
1KS202,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.86,5.76,6.62,490.9323,210.7198,4940.7068,466.2736,2.01753
1KS203,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.79,5.7,6.51,522.3161,201.753,5214.1942,498.77825,1.681275
1KS204,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.93,5.83,6.66,486.4489,188.3028,4726.62445,465.15275,1.232935
1KS205,Conventional,KS,ConventionalKS,1,Organic,4.88,5.78,6.48,514.47015,208.4781,5340.85025,465.15275,1.232935
1KS206,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.91,5.81,6.45,538.008,218.56575,5792.5528,497.6574,1.232935
1KS301,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.87,5.77,6.45,525.67865,255.5538,4190.85815,387.8141,2.802125
1KS302,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.69,5.61,6.35,526.7995,201.753,4114.64035,425.923,2.129615
1KS303,Conventional,KS,ConventionalKS,1,Organic,4.75,5.66,6.44,570.51265,208.4781,4660.4943,483.08635,1.905445
1KS304,Conventional,KS,ConventionalKS,1,Organic,5,5.89,6.56,551.4582,196.14875,4806.2048,485.32805,1.34502
1KS305,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.96,5.85,6.43,524.5578,238.74105,5928.17565,563.78755,1.56919
1KS306,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.92,5.82,6.43,550.33735,253.3121,6511.01765,613.10495,1.79336
1KS401,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.9,5.8,6.65,410.2311,160.28155,3256.06925,319.44225,1.56919
1KS402,Conventional,KS,ConventionalKS,1,Organic,4.92,5.82,6.52,506.6242,236.49935,4106.7944,432.6481,2.129615
1KS403,Conventional,KS,ConventionalKS,1,Organic,4.79,5.7,6.66,569.3918,198.39045,4009.28045,378.8473,1.34502
1KS404,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.97,5.86,6.58,616.4675,258.91635,5575.1079,548.09565,2.129615
1KS405,Hemp Fiber,KS,Hemp FiberKS,1,Organic,5.01,5.9,6.61,580.6003,215.2032,5098.74665,495.4157,1.34502
1KS406,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.98,5.87,6.62,563.78755,208.4781,5015.80375,504.3825,1.457105
1KS501,Hemp Fiber,KS,Hemp FiberKS,1,Organic,4.89,5.79,6.58,512.22845,257.7955,4384.7652,425.923,1.79336
1KS502,Conventional,KS,ConventionalKS,1,Organic,4.74,5.65,6.58,619.83005,261.15805,5114.43855,506.6242,1.34502
1KS503,Hemp Grain,KS,Hemp GrainKS,1,Organic,4.95,5.84,6.51,608.62155,302.6295,6178.1252,569.3918,1.56919
1KS504,Conventional,KS,ConventionalKS,1,Organic,5.1,5.98,6.62,588.44625,258.91635,5850.837,562.6667,1.681275
1KS505,Hemp Grain,KS,Hemp GrainKS,1,Organic,5.03,5.92,6.8,538.008,218.56575,4684.03215,433.76895,3.026295
1KS506,Hemp Fiber,KS,Hemp FiberKS,1,Organic,5.01,5.9,6.65,601.89645,251.0704,4973.21145,496.53655,1.79336
1UK101,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.15,6.94,7.03,552.57905,281.33335,7232.84505,533.5246,2.69004
1UK102,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,5.98,6.78,6.98,586.20455,254.43295,6433.679,506.6242,2.577955
1UK103,Conventional,UK,ConventionalUK,1,Tobacco,6.2,6.98,7.04,588.44625,407.9894,7550.0456,577.23775,3.13838
