group,Treatment,Site,combined,Year,Cashcrop,soilpH,soil-waterpH,BufferpH,P(kg/ha),K(kg/ha),Ca(kg/ha),Mg(kg/ha),Zn(kg/ha),Rotation
1KS101,Hemp Fiber,KS,Hemp FiberKS,0,Organic,5.11,5.99,6.62,493.174,188.3028,5284.80775,492.05315,2.353785,Fiber 1
1KS102,Hemp Grain,KS,Hemp GrainKS,0,Organic,5.01,5.9,6.53,490.9323,200.63215,5356.54215,525.67865,2.01753,Grain 1
1KS103,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.79,5.7,6.54,413.59365,210.7198,5140.2181,504.3825,1.56919,Grain 2
1KS104,Conventional,KS,ConventionalKS,0,Organic,4.93,5.83,6.54,367.6388,193.90705,4790.5129,468.5153,2.01753,Conventional 1
1KS105,Conventional,KS,ConventionalKS,0,Organic,4.84,5.74,6.52,356.4303,201.753,4868.9724,467.39445,1.232935,Conventional 2
1KS106,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.82,5.73,6.7,330.65075,183.8194,4817.4133,436.01065,1.34502,Fiber 2
1KS201,Conventional,KS,ConventionalKS,0,Organic,4.89,5.79,6.74,464.0319,202.87385,5210.83165,448.34,1.56919,Conventional 2
1KS202,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.86,5.76,6.62,490.9323,210.7198,4940.7068,466.2736,2.01753,Fiber 1
1KS203,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.79,5.7,6.51,522.3161,201.753,5214.1942,498.77825,1.681275,Fiber 2
1KS204,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.93,5.83,6.66,486.4489,188.3028,4726.62445,465.15275,1.232935,Grain 1
1KS205,Conventional,KS,ConventionalKS,0,Organic,4.88,5.78,6.48,514.47015,208.4781,5340.85025,465.15275,1.232935,Conventional 1
1KS206,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.91,5.81,6.45,538.008,218.56575,5792.5528,497.6574,1.232935,Grain 2
1KS301,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.87,5.77,6.45,525.67865,255.5538,4190.85815,387.8141,2.802125,Grain 2
1KS302,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.69,5.61,6.35,526.7995,201.753,4114.64035,425.923,2.129615,Fiber 1
1KS303,Conventional,KS,ConventionalKS,0,Organic,4.75,5.66,6.44,570.51265,208.4781,4660.4943,483.08635,1.905445,Conventional 1
1KS304,Conventional,KS,ConventionalKS,0,Organic,5,5.89,6.56,551.4582,196.14875,4806.2048,485.32805,1.34502,Conventional 2
