label,group,year,method,nseqs,coverage,sobs,invsimpson,invsimpson_lci,invsimpson_hci
0.03,1KS101,1,ave,23043,0.924453,3739.522,272.844274,260.566612,286.336513
0.03,1KS102,1,ave,23043,0.943269,3118.606,133.85773,127.959691,140.325796
0.03,1KS103,1,ave,23043,0.940348,3116.947,209.198734,200.541233,218.637538
0.03,1KS104,1,ave,23043,0.961099,2502.82,158.340883,151.631175,165.671938
0.03,1KS105,1,ave,23043,0.964369,2388.501,159.078397,152.623775,166.103117
0.03,1KS106,1,ave,23043,0.963727,2380.315,157.61752,150.9475,164.904327
0.03,1KS201,1,ave,23043,0.949291,3139.496,236.43671,226.137128,247.719404
0.03,1KS202,1,ave,23043,0.970736,2146.423,170.518293,163.433451,178.245299
0.03,1KS203,1,ave,23043,0.926934,3592.21,268.570808,256.754504,281.527459
0.03,1KS204,1,ave,23043,0.977014,1784.22,180.831621,174.381415,187.777366
0.03,1KS205,1,ave,23043,0.929068,3502.091,306.136554,294.428175,318.814866
0.03,1KS206,1,ave,23043,0.957448,3077.542,343.157203,329.627267,357.845641
0.03,1KS301,1,ave,23043,0.978303,1746.962,235.257074,226.423662,244.807837
0.03,1KS302,1,ave,23043,0.980842,1557.996,170.38176,164.249986,176.98925
0.03,1KS303,1,ave,23043,0.946168,2929.378,222.94208,214.32995,232.275387
0.03,1KS304,1,ave,23043,0.932762,3742.211,324.30561,309.594939,340.484456
0.03,1KS305,1,ave,23043,0.948617,2771.779,136.908821,131.174977,143.166886
0.03,1KS306,1,ave,23043,0.929775,3267.252,137.823498,131.501499,144.784136
0.03,1KS401,1,ave,23043,0.921513,3837.478,322.027392,308.689203,336.570455
0.03,1KS402,1,ave,23043,0.925979,3699.167,314.687896,301.979525,328.513028
0.03,1KS403,1,ave,23043,0.927977,3594.628,322.424486,310.054989,335.822067
0.03,1KS404,1,ave,23043,0.943388,3127.631,262.951548,252.657035,274.120715
0.03,1KS405,1,ave,23043,0.943271,3062.373,260.560939,250.300677,271.69844
0.03,1KS406,1,ave,23043,0.935473,3332.47,295.206979,283.738279,307.642045
0.03,1KS501,1,ave,23043,0.942447,3226.999,287.105364,275.567412,299.651892
0.03,1KS502,1,ave,23043,0.94719,2951.98,233.643888,223.833608,244.353638
0.03,1KS503,1,ave,23043,0.935242,3229.116,227.373156,217.55299,238.121937
0.03,1KS504,1,ave,23043,0.923978,3820.209,339.870529,325.003178,356.163859
0.03,1KS505,1,ave,23043,0.963168,2519.731,200.153947,191.578568,209.533085
0.03,1KS506,1,ave,23043,0.975883,2282.746,379.649053,365.97644,394.383139
0.03,1UK101,1,ave,23043,0.946275,3070.013,256.251346,246.051196,267.333869
0.03,1UK102,1,ave,23043,0.916744,4085.622,442.683508,424.811075,462.126605
0.03,1UK103,1,ave,23043,0.96292,2526.833,231.838031,223.01033,241.393456
0.03,1UK104,1,ave,23043,0.963334,2752.049,332.937396,320.442828,346.446062
0.03,1UK105,1,ave,23043,0.924625,3973.389,503.956569,485.218379,524.200682
0.03,1UK106,1,ave,23043,0.925483,3829.82,402.607119,387.45243,418.995723
0.03,1UK201,1,ave,23043,0.937749,3633.425,418.417857,402.016695,436.214803
0.03,1UK202,1,ave,23043,0.928257,3882.592,466.869483,447.813139,487.620571
0.03,1UK203,1,ave,23043,0.949193,3314.324,448.793047,433.46386,465.246384
0.03,1UK204,1,ave,23043,0.921929,4043.896,495.188652,476.061286,515.917959
0.03,1UK205,1,ave,23043,0.927036,3860.033,417.031365,401.044008,434.346625
0.03,1UK206,1,ave,23043,0.931617,3699.033,465.230456,449.564918,482.027306
0.03,1UK301,1,ave,23043,0.928362,3816.924,442.200208,426.050225,459.623058
0.03,1UK302,1,ave,23043,0.944622,3159.519,324.884866,313.937464,336.623413
0.03,1UK303,1,ave,23043,0.929216,3800.545,442.059875,426.633003,458.644414
0.03,1UK304,1,ave,23043,0.930038,3788.038,413.434357,396.22648,432.20531
0.03,1UK305,1,ave,23043,0.928586,3731.581,453.258588,436.947266,470.835354
0.03,1UK306,1,ave,23043,0.943312,3233.749,310.922419,299.693617,323.025509
0.03,1UK401,1,ave,23043,0.93173,3734.487,416.340795,400.442577,433.553852
0.03,1UK402,1,ave,23043,0.934942,3461.974,391.440841,378.134317,405.718173
0.03,1UK403,1,ave,23043,0.939759,3562.358,371.822913,356.481367,388.544793
0.03,1UK404,1,ave,23043,0.904053,4397.46,402.570588,385.741886,420.934988
0.03,1UK405,1,ave,23043,0.932356,3667.237,378.236064,364.001834,393.629038
0.03,1UK406,1,ave,23043,0.931512,3737.127,413.26282,397.030097,430.879877
0.03,1UK501,1,ave,23043,0.947056,3383,433.480837,418.217629,449.900332
0.03,1UK502,1,ave,23043,0.926085,3597.453,305.207504,294.161203,317.115955
0.03,1UK504,1,ave,23043,0.929688,3691.874,363.493987,350.545741,377.435561
0.03,1UK505,1,ave,23043,0.912497,4229.288,435.439331,418.860215,453.385218
0.03,1UK506,1,ave,23043,0.943972,2995.745,208.333423,199.942458,217.459602
0.03,1UK503,1,ave,23043,0.934088,3639.899,424.734014,409.107057,441.602483
0.03,4KS101,4,ave,39624,0.965804,3730,231.770096,224.192775,239.877533
0.03,4KS102,4,ave,39624,0.952453,4522,290.670702,281.81424,300.101882
0.03,4KS103,4,ave,39624,0.964895,4028,317.985916,308.696519,327.851737
0.03,4KS104,4,ave,39624,0.963179,4182,388.239463,376.879605,400.305418
0.03,4KS105,4,ave,39624,0.976504,3294,269.134375,260.891281,277.915361
0.03,4KS106,4,ave,39624,0.967267,3886,342.374158,332.885444,352.419684
