label,group,nseqs,coverage,sobs,invsimpson,invsimpsonlci,invsimpsonhci,shannon,shannonlci,shannonhci
0.03,1UK101,19050,0.934226,2909,248.933939,237.860953,261.088209,6.729945,6.705541,6.75435
0.03,1UK102,19050,0.904514,3791,449.114292,428.720976,471.544636,7.160435,7.137597,7.183272
0.03,1UK103,19050,0.954278,2426,234.841059,225.317721,245.204957,6.562127,6.538436,6.585818
0.03,1UK104,19050,0.955066,2627,332.407043,318.224991,347.912136,6.816599,6.794531,6.838667
0.03,1UK105,19050,0.909081,3727,506.783655,486.11512,529.287797,7.18974,7.167604,7.211876
0.03,1UK106,19050,0.910499,3601,405.005659,388.254672,423.267238,7.074963,7.051771,7.098154
0.03,1UK201,19050,0.924567,3418,422.887853,404.731443,442.749781,7.066417,7.043866,7.088969
0.03,1UK202,19050,0.912861,3650,487.913145,466.157111,511.799349,7.178647,7.156629,7.200664
0.03,1UK203,19050,0.937375,3133,441.090573,424.24865,459.324964,7.021587,6.999797,7.043377
0.03,1UK204,19050,0.9021,3859,494.63557,473.775674,517.416949,7.209728,7.187252,7.232204
0.03,1UK205,19050,0.911759,3632,413.356795,395.921546,432.398378,7.097875,7.074717,7.121033
0.03,1UK206,19050,0.916483,3518,479.446478,461.442141,498.912829,7.115726,7.093613,7.137839
0.03,1UK301,19050,0.912756,3619,434.640929,416.919562,453.935683,7.105488,7.082632,7.128344
0.03,1UK302,19050,0.932703,2964,317.644518,305.194603,331.153378,6.800293,6.77698,6.823605
0.03,1UK303,19050,0.918215,3486,430.75185,414.20498,448.675777,7.069364,7.046631,7.092097
0.03,1UK304,19050,0.913963,3549,390.270276,371.871448,410.584483,7.079187,7.05613,7.102244
0.03,1UK305,19050,0.911549,3538,444.013618,426.382309,463.165967,7.088236,7.065703,7.110769
0.03,1UK306,19050,0.932021,3009,310.719276,298.296019,324.222296,6.817846,6.794307,6.841385
0.03,1UK401,19050,0.91979,3488,418.092574,400.157125,437.711237,7.086658,7.063937,7.10938
0.03,1UK402,19050,0.925302,3202,391.047471,376.167328,407.153335,6.951617,6.928994,6.974239
0.03,1UK403,19050,0.927034,3371,396.25095,378.707262,415.499023,7.050605,7.027822,7.073387
0.03,1UK404,19050,0.889396,4042,392.479548,374.295624,412.520502,7.165472,7.141399,7.189545
0.03,1UK405,19050,0.920367,3399,364.894016,349.115853,382.165862,6.995629,6.97228,7.018978
0.03,1UK406,19050,0.91832,3513,425.180965,406.159268,446.071894,7.103523,7.080954,7.126092
0.03,1UK501,19050,0.934541,3206,418.828945,402.035614,437.086374,7.023671,7.001448,7.045894
0.03,1UK502,19050,0.916745,3301,302.002219,289.921308,315.133721,6.83998,6.815529,6.864431
0.03,1UK503,19050,0.923045,3389,426.064564,408.756718,444.902937,7.05477,7.032283,7.077257
0.03,1UK504,19050,0.917008,3436,363.115844,348.543718,378.959617,6.987165,6.963556,7.010774
0.03,1UK505,19050,0.900472,3911,448.992042,429.673517,470.129506,7.190241,7.167078,7.213405
0.03,1UK506,19050,0.934803,2782,230.334041,220.792706,240.737259,6.61667,6.591973,6.641368
0.03,4UK101,19050,0.932336,3015,427.165944,412.467143,442.951081,6.925477,6.903772,6.947183
0.03,4UK102,19050,0.928609,3141,441.379212,425.22604,458.808072,6.982375,6.960641,7.00411
0.03,4UK103,19050,0.940997,2673,318.393108,305.177718,332.80486,6.712098,6.689749,6.734446
0.03,4UK104,19050,0.934593,2983,393.590602,379.08855,409.246341,6.903767,6.88167,6.925864
0.03,4UK105,19050,0.934173,3046,391.649308,378.348164,405.919755,6.894061,6.871552,6.916569
0.03,4UK106,19050,0.937008,2926,347.823393,333.878406,362.984024,6.857863,6.83526,6.880465
0.03,4UK201,19050,0.938005,3024,443.750825,427.267621,461.556846,6.978656,6.957214,7.000098
0.03,4UK202,19050,0.932703,3037,437.547416,421.605989,454.741746,6.960237,6.93872,6.981753
0.03,4UK203,19050,0.934751,3024,437.734257,422.274344,454.369197,6.954833,6.933249,6.976418
0.03,4UK204,19050,0.937848,3046,447.244496,430.886062,464.89403,6.996094,6.974595,7.017593
0.03,4UK205,19050,0.931864,2931,388.910091,375.818868,402.946267,6.839774,6.81767,6.861878
0.03,4UK206,19050,0.935381,2929,434.458799,419.486673,450.539239,6.912895,6.891558,6.934232
0.03,4UK301,19050,0.938845,2979,482.724679,466.055851,500.630079,6.992171,6.971309,7.013033
0.03,4UK302,19050,0.939003,2907,375.904013,361.683273,391.28879,6.876172,6.853998,6.898347
0.03,4UK303,19050,0.932651,3096,444.045131,427.995159,461.345762,6.984863,6.96322,7.006506
0.03,4UK304,19050,0.927192,3139,444.478067,428.491133,461.704173,6.981815,6.960089,7.003542
0.03,4UK305,19050,0.932756,3003,407.945979,393.12633,423.926706,6.91232,6.890428,6.934212
0.03,4UK306,19050,0.928346,3113,416.736662,401.250759,433.465878,6.96085,6.938819,6.982881
0.03,4UK401,19050,0.932546,3053,427.199134,411.502118,444.141189,6.957843,6.93611,6.979577
0.03,4UK402,19050,0.938635,2997,413.872548,397.974759,431.093315,6.957514,6.935753,6.979275
0.03,4UK403,19050,0.934908,3089,414.430289,398.306884,431.91411,6.97673,6.954739,6.99872
0.03,4UK404,19050,0.937743,2975,447.5832,431.411703,465.014292,6.966819,6.94556,6.988078
0.03,4UK405,19050,0.930394,3229,450.774575,433.789941,469.143442,7.039685,7.017836,7.061534
