Site,Plot,Soil Depth (cm),Year,soil pH,soil-water pH,Buffer pH,P (kg/ha),K (kg/ha),Ca (kg/ha),Mg (kg/ha),Zn (kg/ha),Treatment,Rotation,Cash Crop
KS,KS101,0 to 10,0,5.11,5.99,6.62,493.174,188.3028,5284.80775,492.05315,2.353785,HF,HF1,Fiber
KS,KS101,10 to 20,0,5.16,6.04,6.52,457.3068,248.8287,6419.10795,533.5246,1.56919,HF,HF1,Fiber
KS,KS102,0 to 10,0,5.01,5.9,6.53,490.9323,200.63215,5356.54215,525.67865,2.01753,HG,HG1,Grain Hemp
KS,KS102,10 to 20,0,4.64,5.56,6.33,577.23775,188.3028,4847.67625,364.27625,0.44834,HG,HG1,Grain Hemp
KS,KS103,0 to 10,0,4.79,5.7,6.54,413.59365,210.7198,5140.2181,504.3825,1.56919,HG,HG2,Corn
KS,KS103,10 to 20,0,4.88,5.78,6.4,375.48475,187.18195,6148.9831,492.05315,1.008765,HG,HG2,Corn
KS,KS104,0 to 10,0,4.93,5.83,6.54,367.6388,193.90705,4790.5129,468.5153,2.01753,CV,CV1,Corn
KS,KS104,10 to 20,0,4.84,5.74,6.41,351.9469,198.39045,5269.11585,425.923,0.89668,CV,CV1,Corn
KS,KS105,0 to 10,0,4.84,5.74,6.52,356.4303,201.753,4868.9724,467.39445,1.232935,CV,CV2,Soybean
KS,KS105,10 to 20,0,4.77,5.68,6.42,332.89245,169.24835,4946.31105,384.45155,0.784595,CV,CV2,Soybean
KS,KS106,0 to 10,0,4.82,5.73,6.7,330.65075,183.8194,4817.4133,436.01065,1.34502,HF,HF2,Soybean
KS,KS106,10 to 20,0,4.78,5.69,6.41,328.40905,197.2696,5604.25,466.2736,0.89668,HF,HF2,Soybean
KS,KS201,0 to 10,0,4.89,5.79,6.74,464.0319,202.87385,5210.83165,448.34,1.56919,CV,CV2,Soybean
KS,KS201,10 to 20,0,4.82,5.73,6.4,451.70255,189.42365,5743.2354,428.1647,1.12085,CV,CV2,Soybean
KS,KS202,0 to 10,0,4.86,5.76,6.62,490.9323,210.7198,4940.7068,466.2736,2.01753,HF,HF1,Fiber
KS,KS202,10 to 20,0,4.75,5.66,6.35,472.9987,206.2364,5640.1172,466.2736,1.34502,HF,HF1,Fiber
KS,KS203,0 to 10,0,4.79,5.7,6.51,522.3161,201.753,5214.1942,498.77825,1.681275,HF,HF2,Soybean
KS,KS203,10 to 20,0,4.75,5.66,6.4,520.0744,171.49005,5401.37615,444.97745,0.89668,HF,HF2,Soybean
KS,KS204,0 to 10,0,4.93,5.83,6.66,486.4489,188.3028,4726.62445,465.15275,1.232935,HG,HG1,Grain Hemp
KS,KS204,10 to 20,0,4.81,5.72,6.44,492.05315,179.336,4759.1291,419.1979,1.12085,HG,HG1,Grain Hemp
KS,KS205,0 to 10,0,4.88,5.78,6.48,514.47015,208.4781,5340.85025,465.15275,1.232935,CV,CV1,Corn
KS,KS205,10 to 20,0,4.96,5.85,6.58,499.8991,206.2364,5588.5581,464.0319,1.008765,CV,CV1,Corn
KS,KS206,0 to 10,0,4.91,5.81,6.45,538.008,218.56575,5792.5528,497.6574,1.232935,HG,HG2,Corn
KS,KS206,10 to 20,0,4.98,5.87,6.62,517.8327,190.5445,5874.37485,439.3732,0.89668,HG,HG2,Corn
KS,KS301,0 to 10,0,4.87,5.77,6.45,525.67865,255.5538,4190.85815,387.8141,2.802125,HG,HG2,Corn
KS,KS301,10 to 20,0,4.85,5.75,6.54,538.008,255.5538,4413.9073,372.1222,2.01753,HG,HG2,Corn
KS,KS302,0 to 10,0,4.69,5.61,6.35,526.7995,201.753,4114.64035,425.923,2.129615,HF,HF1,Fiber
KS,KS302,10 to 20,0,4.68,5.6,6.5,501.01995,163.6441,4074.28975,358.672,1.34502,HF,HF1,Fiber
KS,KS303,0 to 10,0,4.75,5.66,6.44,570.51265,208.4781,4660.4943,483.08635,1.905445,CV,CV1,Corn
KS,KS303,10 to 20,0,4.75,5.66,6.51,536.88715,161.4024,4512.5421,393.41835,0.784595,CV,CV1,Corn
KS,KS304,0 to 10,0,5,5.89,6.56,551.4582,196.14875,4806.2048,485.32805,1.34502,CV,CV2,Soybean
KS,KS304,10 to 20,0,5.06,5.94,6.54,581.72115,205.11555,6237.53025,520.0744,0.89668,CV,CV2,Soybean
KS,KS305,0 to 10,0,4.96,5.85,6.43,524.5578,238.74105,5928.17565,563.78755,1.56919,HG,HG1,Grain Hemp
KS,KS305,10 to 20,0,4.86,5.76,6.45,493.174,189.42365,6277.88085,451.70255,0.67251,HG,HG1,Grain Hemp
KS,KS306,0 to 10,0,4.92,5.82,6.43,550.33735,253.3121,6511.01765,613.10495,1.79336,HF,HF2,Soybean
KS,KS306,10 to 20,0,4.93,5.83,6.49,516.71185,203.9947,6369.79055,530.16205,1.12085,HF,HF2,Soybean
KS,KS401,0 to 10,0,4.9,5.8,6.65,410.2311,160.28155,3256.06925,319.44225,1.56919,HG,HG1,Grain Hemp
KS,KS401,10 to 20,0,4.77,5.68,6.61,419.1979,159.1607,3985.7426,316.0797,1.12085,HG,HG1,Grain Hemp
KS,KS402,0 to 10,0,4.92,5.82,6.52,506.6242,236.49935,4106.7944,432.6481,2.129615,CV,CV2,Soybean
KS,KS402,10 to 20,0,4.79,5.7,6.54,481.9655,179.336,4403.81965,363.1554,1.008765,CV,CV2,Soybean
KS,KS403,0 to 10,0,4.79,5.7,6.66,569.3918,198.39045,4009.28045,378.8473,1.34502,CV,CV1,Corn
KS,KS403,10 to 20,0,4.68,5.6,6.36,545.85395,189.42365,4602.2101,356.4303,1.12085,CV,CV1,Corn
KS,KS404,0 to 10,0,4.97,5.86,6.58,616.4675,258.91635,5575.1079,548.09565,2.129615,HG,HG2,Corn
KS,KS404,10 to 20,0,5.01,5.9,6.47,587.3254,223.04915,6207.2673,502.1408,1.008765,HG,HG2,Corn
KS,KS405,0 to 10,0,5.01,5.9,6.61,580.6003,215.2032,5098.74665,495.4157,1.34502,HF,HF1,Fiber
KS,KS405,10 to 20,0,4.96,5.85,6.51,548.09565,178.21515,5319.5541,432.6481,0.784595,HF,HF1,Fiber
KS,KS406,0 to 10,0,4.98,5.87,6.62,563.78755,208.4781,5015.80375,504.3825,1.457105,HF,HF2,Soybean
KS,KS406,10 to 20,0,5.01,5.9,6.56,524.5578,167.00665,5012.4412,411.35195,0.67251,HF,HF2,Soybean
KS,KS501,0 to 10,0,4.89,5.79,6.58,512.22845,257.7955,4384.7652,425.923,1.79336,HF,HF2,Soybean
KS,KS501,10 to 20,0,5.04,5.93,6.47,487.56975,188.3028,6289.08935,474.11955,2.01753,HF,HF2,Soybean
KS,KS502,0 to 10,0,4.74,5.65,6.58,619.83005,261.15805,5114.43855,506.6242,1.34502,CV,CV1,Corn
KS,KS502,10 to 20,0,4.7,5.62,6.29,690.4436,228.6534,6673.5409,533.5246,0.560425,CV,CV1,Corn
KS,KS503,0 to 10,0,4.95,5.84,6.51,608.62155,302.6295,6178.1252,569.3918,1.56919,HG,HG1,Grain Hemp
KS,KS503,10 to 20,0,4.9,5.8,6.4,610.86325,208.4781,7323.6339,488.6906,0.336255,HG,HG1,Grain Hemp
KS,KS504,0 to 10,0,5.1,5.98,6.62,588.44625,258.91635,5850.837,562.6667,1.681275,CV,CV2,Soybean
KS,KS504,10 to 20,0,5.2,6.07,6.54,623.1926,217.4449,7869.48785,542.4914,0.44834,CV,CV2,Soybean
KS,KS505,0 to 10,0,5.03,5.92,6.8,538.008,218.56575,4684.03215,433.76895,3.026295,HG,HG2,Corn
KS,KS505,10 to 20,0,4.99,5.88,6.57,577.23775,180.45685,5707.3682,401.2643,0.560425,HG,HG2,Corn
KS,KS506,0 to 10,0,5.01,5.9,6.65,601.89645,251.0704,4973.21145,496.53655,1.79336,HF,HF1,Fiber
KS,KS506,10 to 20,0,5,5.89,6.61,619.83005,170.3692,5711.8516,410.2311,0.44834,HF,HF1,Fiber
UK,UK101,0 to 10,0,6.15,6.94,7.03,552.57905,281.33335,7232.84505,533.5246,2.69004,HF,HF2,Soybean
UK,UK101,10 to 20,0,6.02,6.82,6.9,521.19525,260.0372,7065.8384,451.70255,2.577955,HF,HF2,Soybean
UK,UK102,0 to 10,0,5.98,6.78,6.98,586.20455,254.43295,6433.679,506.6242,2.577955,HG,HG2,Corn
UK,UK102,10 to 20,0,5.64,6.47,6.72,571.6335,273.4874,6171.4001,441.6149,2.129615,HG,HG2,Corn
UK,UK103,0 to 10,0,6.2,6.98,7.04,588.44625,407.9894,7550.0456,577.23775,3.13838,CV,CV2,Soybean
UK,UK103,10 to 20,0,5.99,6.79,6.87,578.3586,331.7716,7000.8291,496.53655,2.802125,CV,CV2,Soybean
UK,UK104,0 to 10,0,6.1,6.89,7.02,597.41305,366.51795,6549.12655,554.82075,2.802125,HF,HF1,Fiber
UK,UK104,10 to 20,0,5.73,6.55,6.76,566.02925,332.89245,6360.82375,437.1315,2.91421,HF,HF1,Fiber
UK,UK105,0 to 10,0,6.32,7.09,7.1,562.6667,394.5392,6908.9194,526.7995,4.147145,HG,HG1,Grain Hemp
UK,UK105,10 to 20,0,6.02,6.82,6.92,549.2165,323.92565,6812.5263,477.4821,4.371315,HG,HG1,Grain Hemp
