Site,Plot,Soil Depth (cm),Year,soil pH,soil-water pH,Buffer pH,P (lbs/a),K (lbs/a),Ca (lbs/a),Mg (lbs/a),Zn (lbs/a)
KS,101,0-10,0,5.11,5.99,6.62,440,168,4715,439,2.1
KS,101,10-20,0,5.16,6.04,6.52,408,222,5727,476,1.4
KS,102,0-10,0,5.01,5.9,6.53,438,179,4779,469,1.8
KS,102,10-20,0,4.64,5.56,6.33,515,168,4325,325,0.4
KS,103,0-10,0,4.79,5.7,6.54,369,188,4586,450,1.4
KS,103,10-20,0,4.88,5.78,6.4,335,167,5486,439,0.9
KS,104,0-10,0,4.93,5.83,6.54,328,173,4274,418,1.8
KS,104,10-20,0,4.84,5.74,6.41,314,177,4701,380,0.8
KS,105,0-10,0,4.84,5.74,6.52,318,180,4344,417,1.1
KS,105,10-20,0,4.77,5.68,6.42,297,151,4413,343,0.7
KS,106,0-10,0,4.82,5.73,6.7,295,164,4298,389,1.2
KS,106,10-20,0,4.78,5.69,6.41,293,176,5000,416,0.8
KS,201,0-10,0,4.89,5.79,6.74,414,181,4649,400,1.4
KS,201,10-20,0,4.82,5.73,6.4,403,169,5124,382,1
KS,202,0-10,0,4.86,5.76,6.62,438,188,4408,416,1.8
KS,202,10-20,0,4.75,5.66,6.35,422,184,5032,416,1.2
KS,203,0-10,0,4.79,5.7,6.51,466,180,4652,445,1.5
KS,203,10-20,0,4.75,5.66,6.4,464,153,4819,397,0.8
KS,204,0-10,0,4.93,5.83,6.66,434,168,4217,415,1.1
KS,204,10-20,0,4.81,5.72,6.44,439,160,4246,374,1
KS,205,0-10,0,4.88,5.78,6.48,459,186,4765,415,1.1
KS,205,10-20,0,4.96,5.85,6.58,446,184,4986,414,0.9
KS,206,0-10,0,4.91,5.81,6.45,480,195,5168,444,1.1
KS,206,10-20,0,4.98,5.87,6.62,462,170,5241,392,0.8
KS,301,0-10,0,4.87,5.77,6.45,469,228,3739,346,2.5
KS,301,10-20,0,4.85,5.75,6.54,480,228,3938,332,1.8
KS,302,0-10,0,4.69,5.61,6.35,470,180,3671,380,1.9
KS,302,10-20,0,4.68,5.6,6.5,447,146,3635,320,1.2
KS,303,0-10,0,4.75,5.66,6.44,509,186,4158,431,1.7
KS,303,10-20,0,4.75,5.66,6.51,479,144,4026,351,0.7
KS,304,0-10,0,5,5.89,6.56,492,175,4288,433,1.2
KS,304,10-20,0,5.06,5.94,6.54,519,183,5565,464,0.8
KS,305,0-10,0,4.96,5.85,6.43,468,213,5289,503,1.4
KS,305,10-20,0,4.86,5.76,6.45,440,169,5601,403,0.6
KS,306,0-10,0,4.92,5.82,6.43,491,226,5809,547,1.6
KS,306,10-20,0,4.93,5.83,6.49,461,182,5683,473,1
KS,401,0-10,0,4.9,5.8,6.65,366,143,2905,285,1.4
KS,401,10-20,0,4.77,5.68,6.61,374,142,3556,282,1
KS,402,0-10,0,4.92,5.82,6.52,452,211,3664,386,1.9
KS,402,10-20,0,4.79,5.7,6.54,430,160,3929,324,0.9
KS,403,0-10,0,4.79,5.7,6.66,508,177,3577,338,1.2
KS,403,10-20,0,4.68,5.6,6.36,487,169,4106,318,1
KS,404,0-10,0,4.97,5.86,6.58,550,231,4974,489,1.9
KS,404,10-20,0,5.01,5.9,6.47,524,199,5538,448,0.9
KS,405,0-10,0,5.01,5.9,6.61,518,192,4549,442,1.2
KS,405,10-20,0,4.96,5.85,6.51,489,159,4746,386,0.7
KS,406,0-10,0,4.98,5.87,6.62,503,186,4475,450,1.3
KS,406,10-20,0,5.01,5.9,6.56,468,149,4472,367,0.6
KS,501,0-10,0,4.89,5.79,6.58,457,230,3912,380,1.6
KS,501,10-20,0,5.04,5.93,6.47,435,168,5611,423,1.8
KS,502,0-10,0,4.74,5.65,6.58,553,233,4563,452,1.2
KS,502,10-20,0,4.7,5.62,6.29,616,204,5954,476,0.5
KS,503,0-10,0,4.95,5.84,6.51,543,270,5512,508,1.4
KS,503,10-20,0,4.9,5.8,6.4,545,186,6534,436,0.3
KS,504,0-10,0,5.1,5.98,6.62,525,231,5220,502,1.5
KS,504,10-20,0,5.2,6.07,6.54,556,194,7021,484,0.4
KS,505,0-10,0,5.03,5.92,6.8,480,195,4179,387,2.7
KS,505,10-20,0,4.99,5.88,6.57,515,161,5092,358,0.5
KS,506,0-10,0,5.01,5.9,6.65,537,224,4437,443,1.6
KS,506,10-20,0,5,5.89,6.61,553,152,5096,366,0.4
ST,101,0-10,0,6.15,6.94,7.03,493,251,6453,476,2.4
ST,101,10-20,0,6.02,6.82,6.9,465,232,6304,403,2.3
ST,102,0-10,0,5.98,6.78,6.98,523,227,5740,452,2.3
ST,102,10-20,0,5.64,6.47,6.72,510,244,5506,394,1.9
ST,103,0-10,0,6.2,6.98,7.04,525,364,6736,515,2.8
ST,103,10-20,0,5.99,6.79,6.87,516,296,6246,443,2.5
ST,104,0-10,0,6.1,6.89,7.02,533,327,5843,495,2.5
ST,104,10-20,0,5.73,6.55,6.76,505,297,5675,390,2.6
