group,Rotation,Site,combined,Year,Crop,Treatment,plot,Block
4KS101,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,101,1
4KS102,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,102,1
4KS103,Hemp Grain,KS,HempGrainKS,3,Corn,Grain 2,103,1
4KS104,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,104,1
4KS105,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,105,1
4KS106,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,106,1
4KS201,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,201,2
4KS202,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,202,2
4KS203,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,203,2
4KS204,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,204,2
4KS205,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,205,2
4KS206,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,206,2
4KS301,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,301,3
4KS302,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,302,3
4KS303,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,303,3
4KS304,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,304,3
4KS305,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,305,3
4KS306,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,306,3
4KS401,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,401,4
4KS402,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,402,4
4KS403,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,403,4
4KS404,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,404,4
4KS405,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,405,4
4KS406,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,406,4
4KS501,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,501,5
4KS502,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,502,5
4KS503,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,503,5
4KS504,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,504,5
4KS505,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,505,5
4KS506,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,506,5
4UK101,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,101,1
4UK102,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,102,1
4UK103,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,103,1
4UK104,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,104,1
4UK105,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,105,1
4UK106,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,106,1
4UK201,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,201,2
4UK202,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,202,2
4UK203,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,203,2
4UK204,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,204,2
4UK205,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,205,2
4UK206,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,206,2
4UK301,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,301,3
4UK302,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,302,3
4UK303,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,303,3
4UK304,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,304,3
4UK305,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,305,3
4UK306,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,306,3
4UK401,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,401,4
4UK402,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,402,4
4UK403,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,403,4
4UK404,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,404,4
4UK405,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,405,4
4UK406,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,406,4
4UK501,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,501,5
4UK502,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,502,5
4UK503,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,503,5
4UK504,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,504,5
4UK505,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,505,5
4UK506,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,506,5
3KS101,Hemp Fiber,KS,Hemp FiberKS,2,Soybean,Fiber 1,101,1
