Plot,Rotation,Cash_Crop,Year,Sample_ID,Vegetative,Grain,Total,Marketable,Stover,Yield,Type
106,CC1,Corn,2021,106,10382.33,9720.00,20102.33,9720.00,10382.33,9720.00,Marketable
202,CC1,Corn,2021,202,10109.19,9900.00,20009.19,9900.00,10109.19,9900.00,Marketable
301,CC1,Corn,2021,301,9326.07,9560.00,18886.07,9560.00,9326.07,9560.00,Marketable
405,CC1,Corn,2021,405,7503.19,11300.00,18803.19,11300.00,7503.19,11300.00,Marketable
504,CC1,Corn,2021,504,8176.98,8800.00,16976.98,8800.00,8176.98,8800.00,Marketable
104,HF1,Fiber,2021,104,4500.00,,4500.00,4500.00,0.00,4500.00,Marketable
206,HF1,Fiber,2021,206,8480.00,,8480.00,8480.00,0.00,8480.00,Marketable
306,HF1,Fiber,2021,306,1160.00,,1160.00,1160.00,0.00,1160.00,Marketable
403,HF1,Fiber,2021,403,9840.00,,9840.00,9840.00,0.00,9840.00,Marketable
501,HF1,Fiber,2021,501,9840.00,,9840.00,9840.00,0.00,9840.00,Marketable
103,CC2,Soybean,2021,103,3552.00,4428.00,7980.00,4428.00,3552.00,4428.00,Marketable
204,CC2,Soybean,2021,204,4732.00,5008.00,9740.00,5008.00,4732.00,5008.00,Marketable
305,CC2,Soybean,2021,305,5552.00,5488.00,11040.00,5488.00,5552.00,5488.00,Marketable
401,CC2,Soybean,2021,401,4872.00,5568.00,10440.00,5568.00,4872.00,5568.00,Marketable
502,CC2,Soybean,2021,502,3632.00,4108.00,7740.00,4108.00,3632.00,4108.00,Marketable
105,HG1,Grain,2021,105,5858.00,982.00,6840.00,982.00,5858.00,982.00,Marketable
203,HG1,Grain,2021,203,5944.00,1116.00,7060.00,1116.00,5944.00,1116.00,Marketable
302,HG1,Grain,2021,302,4054.00,626.00,4680.00,626.00,4054.00,626.00,Marketable
406,HG1,Grain,2021,406,6092.00,888.00,6980.00,888.00,6092.00,888.00,Marketable
503,HG1,Grain,2021,503,5014.00,966.00,5980.00,966.00,5014.00,966.00,Marketable
101,HF2,Soybean,2021,101,3472.00,4268.00,7740.00,4268.00,3472.00,4268.00,Marketable
205,HF2,Soybean,2021,205,4572.00,4568.00,9140.00,4568.00,4572.00,4568.00,Marketable
303,HF2,Soybean,2021,303,6612.00,4728.00,11340.00,4728.00,6612.00,4728.00,Marketable
404,HF2,Soybean,2021,404,3672.00,5368.00,9040.00,5368.00,3672.00,5368.00,Marketable
506,HF2,Soybean,2021,506,5152.00,4428.00,9580.00,4428.00,5152.00,4428.00,Marketable
102,HG2,Corn,2021,102,7112.00,9340.00,16452.00,9340.00,7112.00,9340.00,Marketable
201,HG2,Corn,2021,201,9528.29,9560.00,19088.29,9560.00,9528.29,9560.00,Marketable
304,HG2,Corn,2021,304,9214.60,10180.00,19394.60,10180.00,9214.60,10180.00,Marketable
402,HG2,Corn,2021,402,10998.46,11460.00,22458.46,11460.00,10998.46,11460.00,Marketable
505,HG2,Corn,2021,505,8272.63,8860.00,17132.63,8860.00,8272.63,8860.00,Marketable
106,CC1,Soybean,2022,106,5380.00,4520.00,9900.00,4520.00,5380.00,4520.00,Marketable
202,CC1,Soybean,2022,202,4580.00,4500.00,9080.00,4500.00,4580.00,4500.00,Marketable
301,CC1,Soybean,2022,301,4860.00,4120.00,8980.00,4120.00,4860.00,4120.00,Marketable
405,CC1,Soybean,2022,405,4900.00,4300.00,9200.00,4300.00,4900.00,4300.00,Marketable
504,CC1,Soybean,2022,504,3060.00,2320.00,5380.00,2320.00,3060.00,2320.00,Marketable
104,HF1,Soybean,2022,104,4600.00,4240.00,8840.00,4240.00,4600.00,4240.00,Marketable
206,HF1,Soybean,2022,206,4400.00,3400.00,7800.00,3400.00,4400.00,3400.00,Marketable
306,HF1,Soybean,2022,306,4480.00,3540.00,8020.00,3540.00,4480.00,3540.00,Marketable
403,HF1,Soybean,2022,403,3600.00,3200.00,6800.00,3200.00,3600.00,3200.00,Marketable
501,HF1,Soybean,2022,501,5200.00,4300.00,9500.00,4300.00,5200.00,4300.00,Marketable
103,CC2,Corn,2022,103,6404.24,10900.00,17304.24,10900.00,6404.24,10900.00,Marketable
204,CC2,Corn,2022,204,9446.00,7000.00,16446.00,7000.00,9446.00,7000.00,Marketable
305,CC2,Corn,2022,305,7103.92,8180.00,15283.92,8180.00,7103.92,8180.00,Marketable
401,CC2,Corn,2022,401,8927.20,8980.00,17907.20,8980.00,8927.20,8980.00,Marketable
502,CC2,Corn,2022,502,8457.28,11000.00,19457.28,11000.00,8457.28,11000.00,Marketable
105,HG1,Corn,2022,105,7284.40,8560.00,15844.40,8560.00,7284.40,8560.00,Marketable
203,HG1,Corn,2022,203,7435.04,9360.00,16795.04,9360.00,7435.04,9360.00,Marketable
302,HG1,Corn,2022,302,7555.92,8200.00,15755.92,8200.00,7555.92,8200.00,Marketable
406,HG1,Corn,2022,406,8633.52,8700.00,17333.52,8700.00,8633.52,8700.00,Marketable
503,HG1,Corn,2022,503,5118.96,6600.00,11718.96,6600.00,5118.96,6600.00,Marketable
101,HF2,Fiber,2022,101,6580.00,,6580.00,6580.00,0.00,6580.00,Marketable
205,HF2,Fiber,2022,205,5560.00,,5560.00,5560.00,0.00,5560.00,Marketable
303,HF2,Fiber,2022,303,5740.00,,5740.00,5740.00,0.00,5740.00,Marketable
404,HF2,Fiber,2022,404,6880.00,,6880.00,6880.00,0.00,6880.00,Marketable
506,HF2,Fiber,2022,506,6480.00,,6480.00,6480.00,0.00,6480.00,Marketable
102,HG2,Grain,2022,102,3901.20,1138.80,5040.00,1138.80,3901.20,1138.80,Marketable
201,HG2,Grain,2022,201,3955.20,1024.80,4980.00,1024.80,3955.20,1024.80,Marketable
304,HG2,Grain,2022,304,4057.40,1242.60,5300.00,1242.60,4057.40,1242.60,Marketable
402,HG2,Grain,2022,402,4459.20,1320.80,5780.00,1320.80,4459.20,1320.80,Marketable
505,HG2,Grain,2022,505,5486.20,1533.80,7020.00,1533.80,5486.20,1533.80,Marketable
106,CC1,Corn,2023,106,13873.24,16220.00,30093.24,16220.00,13873.24,16220.00,Marketable
202,CC1,Corn,2023,202,11726.33,13620.00,25346.33,13620.00,11726.33,13620.00,Marketable
301,CC1,Corn,2023,301,12413.67,14360.00,26773.67,14360.00,12413.67,14360.00,Marketable
405,CC1,Corn,2023,405,18779.13,16720.00,35499.13,16720.00,18779.13,16720.00,Marketable
504,CC1,Corn,2023,504,11745.64,10960.00,22705.64,10960.00,11745.64,10960.00,Marketable
104,HF1,Fiber,2023,104,13980.00,,13980.00,13980.00,0.00,13980.00,Marketable
206,HF1,Fiber,2023,206,8480.00,,8480.00,8480.00,0.00,8480.00,Marketable
306,HF1,Fiber,2023,306,10040.00,,10040.00,10040.00,0.00,10040.00,Marketable
403,HF1,Fiber,2023,403,12120.00,,12120.00,12120.00,0.00,12120.00,Marketable
501,HF1,Fiber,2023,501,11760.00,,11760.00,11760.00,0.00,11760.00,Marketable
103,CC2,Soybean,2023,103,3620.00,4152.00,7772.00,4152.00,3620.00,4152.00,Marketable
204,CC2,Soybean,2023,204,3540.00,4056.00,7596.00,4056.00,3540.00,4056.00,Marketable
305,CC2,Soybean,2023,305,3620.00,4152.00,7772.00,4152.00,3620.00,4152.00,Marketable
401,CC2,Soybean,2023,401,4900.00,5400.00,10300.00,5400.00,4900.00,5400.00,Marketable
502,CC2,Soybean,2023,502,4480.00,5020.00,9500.00,5020.00,4480.00,5020.00,Marketable
105,HG1,Grain,2023,105,1990.00,670.00,2660.00,670.00,1990.00,670.00,Marketable
203,HG1,Grain,2023,203,1810.00,630.00,2440.00,630.00,1810.00,630.00,Marketable
302,HG1,Grain,2023,302,1692.00,448.00,2140.00,448.00,1692.00,448.00,Marketable
406,HG1,Grain,2023,406,2304.00,356.00,2660.00,356.00,2304.00,356.00,Marketable
503,HG1,Grain,2023,503,2226.00,354.00,2580.00,354.00,2226.00,354.00,Marketable
101,HF2,Soybean,2023,101,4360.00,4908.00,9268.00,4908.00,4360.00,4908.00,Marketable
205,HF2,Soybean,2023,205,4060.00,4572.00,8632.00,4572.00,4060.00,4572.00,Marketable
303,HF2,Soybean,2023,303,4080.00,4624.00,8704.00,4624.00,4080.00,4624.00,Marketable
404,HF2,Soybean,2023,404,3960.00,4436.00,8396.00,4436.00,3960.00,4436.00,Marketable
506,HF2,Soybean,2023,506,3320.00,3848.00,7168.00,3848.00,3320.00,3848.00,Marketable
102,HG2,Corn,2023,102,14375.79,15920.00,30295.79,15920.00,14375.79,15920.00,Marketable
201,HG2,Corn,2023,201,10157.94,15680.00,25837.94,15680.00,10157.94,15680.00,Marketable
304,HG2,Corn,2023,304,10619.20,11960.00,22579.20,11960.00,10619.20,11960.00,Marketable
402,HG2,Corn,2023,402,13763.08,15400.00,29163.08,15400.00,13763.08,15400.00,Marketable
505,HG2,Corn,2023,505,12687.34,14720.00,27407.34,14720.00,12687.34,14720.00,Marketable
106,CC1,Corn,2021,106,10382.33,9720.00,20102.33,9720.00,10382.33,10382.33,Stover
202,CC1,Corn,2021,202,10109.19,9900.00,20009.19,9900.00,10109.19,10109.19,Stover
301,CC1,Corn,2021,301,9326.07,9560.00,18886.07,9560.00,9326.07,9326.07,Stover
405,CC1,Corn,2021,405,7503.19,11300.00,18803.19,11300.00,7503.19,7503.19,Stover
504,CC1,Corn,2021,504,8176.98,8800.00,16976.98,8800.00,8176.98,8176.98,Stover
104,HF1,Fiber,2021,104,4500.00,,4500.00,4500.00,0.00,0.00,Stover
206,HF1,Fiber,2021,206,8480.00,,8480.00,8480.00,0.00,0.00,Stover
306,HF1,Fiber,2021,306,1160.00,,1160.00,1160.00,0.00,0.00,Stover
403,HF1,Fiber,2021,403,9840.00,,9840.00,9840.00,0.00,0.00,Stover
501,HF1,Fiber,2021,501,9840.00,,9840.00,9840.00,0.00,0.00,Stover
103,CC2,Soybean,2021,103,3552.00,4428.00,7980.00,4428.00,3552.00,3552.00,Stover
204,CC2,Soybean,2021,204,4732.00,5008.00,9740.00,5008.00,4732.00,4732.00,Stover
305,CC2,Soybean,2021,305,5552.00,5488.00,11040.00,5488.00,5552.00,5552.00,Stover
401,CC2,Soybean,2021,401,4872.00,5568.00,10440.00,5568.00,4872.00,4872.00,Stover
502,CC2,Soybean,2021,502,3632.00,4108.00,7740.00,4108.00,3632.00,3632.00,Stover
